Turn,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent,Total nodes,Total edges,Average degree,Average degree centrality,Average closeness,Average degree connectivity,Average assortativity,Average node connectivity,Number of components,Number of strong components,Centrality entropy,Closeness entropy,Sparseness,Total explicit triples,Total classes,Total properties,Total instances,Total object properties,Total data properties,Total subclass properties,Total entities,Property class ratio,Average population,Class property ratio,Attribute richness,Inheritance richness,Relationship richness,Object properties ratio,Datatype properties ratio,Total concept assertions,Total role assertions,Total general concept inclusions,Total axioms,Total aBox axioms,Total tBox axioms,Total world instances,Total semantic statements,Total perspectives,Total mentions,Total interactions,Total utterances,Total sources
10.0,0.559544234,0.641875282,0.010247797,0.9914957,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,2966.0,8115.0,5.472016183412003,0.0018455366554509286,0.001698815549504295,0.8801571955675794,-0.11607618575545303,0.0,3.0,-0.11607618575545303,10.113782914592512,2.738445152052387,0.0009213204813010023,8115.0,294.0,267.0,1381.0,229.0,38.0,612.0,1675.0,0.9081632653061225,4.697278911564626,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1381.0,520.0,644.0,2908.0,1901.0,1007.0,8.0,5.0,3.0,3.0,,3.0,2.0
11.0,0.117453665,0.26615154,0.7245393,0.98584956,0.0,,,,,,,,,2982.0,8157.0,5.470824949698189,0.0018352314490768832,0.0017024037781109907,0.8853177969902309,-0.11696779993536044,0.0,3.0,-0.11696779993536044,10.124932705748058,2.73987156587544,0.0009161834409092606,8157.0,294.0,267.0,1393.0,229.0,38.0,612.0,1687.0,0.9081632653061225,4.738095238095238,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1393.0,539.0,644.0,2939.0,1932.0,1007.0,10.0,6.0,4.0,4.0,0.0,4.0,2.0
12.0,0.251863712,0.466307524,0.997671,0.9955981,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2982.0,8157.0,5.470824949698189,0.0018352314490768832,0.0017024037781109907,0.8853177969902309,-0.11696779993536044,0.0,3.0,-0.11696779993536044,10.124932705748058,2.73987156587544,0.0009161834409092606,8157.0,294.0,267.0,1393.0,229.0,38.0,612.0,1687.0,0.9081632653061225,4.738095238095238,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1393.0,539.0,644.0,2939.0,1932.0,1007.0,10.0,6.0,4.0,4.0,,4.0,2.0
13.0,0.27272233,0.328518655,0.06578323,0.9952079,0.0,,,,,,,,,2997.0,8197.0,5.470136803470137,0.0018258133522931028,0.0017079401106111839,0.8897888007021133,-0.11848978256034917,0.0,3.0,-0.11848978256034917,10.135032672923238,2.741333695095418,0.0009114887326432205,8197.0,294.0,267.0,1404.0,229.0,38.0,612.0,1698.0,0.9081632653061225,4.775510204081633,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1404.0,558.0,644.0,2969.0,1962.0,1007.0,11.0,7.0,5.0,5.0,0.0,5.0,2.0
14.0,0.246360421,0.480422231,0.9966766,0.99562186,2.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,2997.0,8197.0,5.470136803470137,0.0018258133522931028,0.0017079401106111839,0.8897888007021133,-0.11848978256034917,0.0,3.0,-0.11848978256034917,10.135032672923238,2.741333695095418,0.0009114887326432205,8197.0,294.0,267.0,1404.0,229.0,38.0,612.0,1698.0,0.9081632653061225,4.775510204081633,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1404.0,558.0,644.0,2969.0,1962.0,1007.0,11.0,7.0,5.0,5.0,,5.0,2.0
15.0,0.348723585,0.371465604,0.996273,0.99447066,0.0,,,,,,,,,3009.0,8233.0,5.472249916915919,0.0018192320202513029,0.0017290963787446067,0.8943688155077979,-0.12049958700086358,0.0,3.0,-0.12049958700086358,10.14316267010707,2.742467508097057,0.0009082092373593742,8233.0,294.0,267.0,1413.0,229.0,38.0,612.0,1707.0,0.9081632653061225,4.8061224489795915,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1413.0,578.0,644.0,2998.0,1991.0,1007.0,11.0,8.0,6.0,6.0,0.0,6.0,2.0
16.0,0.24851859,0.523669336,0.99719054,0.9941027,2.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3009.0,8233.0,5.472249916915919,0.0018192320202513029,0.0017290963787446067,0.8943688155077979,-0.12049958700086358,0.0,3.0,-0.12049958700086358,10.14316267010707,2.742467508097057,0.0009082092373593742,8233.0,294.0,267.0,1413.0,229.0,38.0,612.0,1707.0,0.9081632653061225,4.8061224489795915,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1413.0,578.0,644.0,2998.0,1991.0,1007.0,11.0,8.0,6.0,6.0,,6.0,2.0
17.0,0.153944667,0.518877555,0.99799055,0.99687594,0.0,,,,,,,,,3025.0,8275.0,5.471074380165289,0.0018092177183086269,0.0017328217859520175,0.8994998131220273,-0.12152384475869857,0.0,3.0,-0.12152384475869857,10.153500859411045,2.7437917546885857,0.0009032169933747695,8275.0,294.0,267.0,1426.0,229.0,38.0,612.0,1720.0,0.9081632653061225,4.850340136054422,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1426.0,597.0,644.0,3030.0,2023.0,1007.0,13.0,9.0,7.0,7.0,0.0,7.0,2.0
18.0,0.421245757,0.618641938,0.99809694,0.99579597,3.0,1.0,5.0,5.0,4.0,3.0,2.0,1.0,1.0,3025.0,8275.0,5.471074380165289,0.0018092177183086269,0.0017328217859520175,0.8994998131220273,-0.12152384475869857,0.0,3.0,-0.12152384475869857,10.153500859411045,2.7437917546885857,0.0009032169933747695,8275.0,294.0,267.0,1426.0,229.0,38.0,612.0,1720.0,0.9081632653061225,4.850340136054422,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1426.0,597.0,644.0,3030.0,2023.0,1007.0,13.0,9.0,7.0,7.0,,7.0,2.0
19.0,0.519529175,0.673869528,0.9978471,0.9910065,0.0,,,,,,,,,3025.0,8275.0,5.471074380165289,0.0018092177183086269,0.0017328217859520175,0.8994998131220273,-0.12152384475869857,0.0,3.0,-0.12152384475869857,10.153500859411045,2.7437917546885857,0.0009032169933747695,8275.0,294.0,267.0,1426.0,229.0,38.0,612.0,1720.0,0.9081632653061225,4.850340136054422,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1426.0,597.0,644.0,3030.0,2023.0,1007.0,13.0,9.0,7.0,7.0,,7.0,2.0
20.0,0.401362117,0.783523759,0.99802506,0.9836624,3.0,1.0,5.0,1.0,2.0,4.0,4.0,5.0,5.0,3025.0,8275.0,5.471074380165289,0.0018092177183086269,0.0017328217859520175,0.8994998131220273,-0.12152384475869857,0.0,3.0,-0.12152384475869857,10.153500859411045,2.7437917546885857,0.0009032169933747695,8275.0,294.0,267.0,1426.0,229.0,38.0,612.0,1720.0,0.9081632653061225,4.850340136054422,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1426.0,597.0,644.0,3030.0,2023.0,1007.0,13.0,9.0,7.0,7.0,,7.0,2.0
21.0,0.598634204,0.778188718,0.99823254,0.9685368,0.0,,,,,,,,,3025.0,8275.0,5.471074380165289,0.0018092177183086269,0.0017328217859520175,0.8994998131220273,-0.12152384475869857,0.0,3.0,-0.12152384475869857,10.153500859411045,2.7437917546885857,0.0009032169933747695,8275.0,294.0,267.0,1426.0,229.0,38.0,612.0,1720.0,0.9081632653061225,4.850340136054422,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1426.0,597.0,644.0,3030.0,2023.0,1007.0,13.0,9.0,7.0,7.0,,7.0,2.0
22.0,0.0,0.047249854,0.99823594,0.99706244,0.0,,,,,,,,,3025.0,8275.0,5.471074380165289,0.0018092177183086269,0.0017328217859520175,0.8994998131220273,-0.12152384475869857,0.0,3.0,-0.12152384475869857,10.153500859411045,2.7437917546885857,0.0009032169933747695,8275.0,294.0,267.0,1426.0,229.0,38.0,612.0,1720.0,0.9081632653061225,4.850340136054422,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1426.0,597.0,644.0,3030.0,2023.0,1007.0,13.0,9.0,7.0,7.0,,7.0,2.0
23.0,0.327142107,0.484396638,0.99808055,0.9971017,0.0,,,,,,,,,3025.0,8275.0,5.471074380165289,0.0018092177183086269,0.0017328217859520175,0.8994998131220273,-0.12152384475869857,0.0,3.0,-0.12152384475869857,10.153500859411045,2.7437917546885857,0.0009032169933747695,8275.0,294.0,267.0,1426.0,229.0,38.0,612.0,1720.0,0.9081632653061225,4.850340136054422,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1426.0,597.0,644.0,3030.0,2023.0,1007.0,13.0,9.0,7.0,7.0,,7.0,2.0
24.0,0.0,0.16542083,0.9978502,0.99685335,0.0,,,,,,,,,3043.0,8325.0,5.471574104502136,0.0017986765629527076,0.0017417734984339606,0.9068951548929197,-0.12243172563259062,0.0,3.0,-0.12243172563259062,10.16558626046113,2.745075788659651,0.0008979628069528996,8325.0,294.0,267.0,1444.0,229.0,38.0,612.0,1738.0,0.9081632653061225,4.91156462585034,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1444.0,617.0,644.0,3068.0,2061.0,1007.0,16.0,11.0,8.0,8.0,0.0,8.0,3.0
25.0,0.580621159,0.718405491,0.99780136,0.9970257,3.0,1.0,5.0,1.0,3.0,3.0,4.0,5.0,5.0,3043.0,8325.0,5.471574104502136,0.0017986765629527076,0.0017417734984339606,0.9068951548929197,-0.12243172563259062,0.0,3.0,-0.12243172563259062,10.16558626046113,2.745075788659651,0.0008979628069528996,8325.0,294.0,267.0,1444.0,229.0,38.0,612.0,1738.0,0.9081632653061225,4.91156462585034,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1444.0,617.0,644.0,3068.0,2061.0,1007.0,16.0,11.0,8.0,8.0,,8.0,3.0
26.0,0.31458299,0.594142909,0.9970044,0.9970144,0.0,,,,,,,,,3058.0,8364.0,5.4702419882276,0.001789415109004776,0.0017449953606615324,0.9109591536528089,-0.12395451455830517,0.0,3.0,-0.12395451455830517,10.174863589817804,2.746431548857394,0.0008933456124689404,8364.0,294.0,267.0,1454.0,229.0,38.0,612.0,1748.0,0.9081632653061225,4.945578231292517,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1454.0,636.0,644.0,3097.0,2090.0,1007.0,17.0,12.0,9.0,9.0,0.0,9.0,3.0
27.0,0.338666272,0.653402345,0.99705344,0.9961896,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3058.0,8364.0,5.4702419882276,0.001789415109004776,0.0017449953606615324,0.9109591536528089,-0.12395451455830517,0.0,3.0,-0.12395451455830517,10.174863589817804,2.746431548857394,0.0008933456124689404,8364.0,294.0,267.0,1454.0,229.0,38.0,612.0,1748.0,0.9081632653061225,4.945578231292517,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1454.0,636.0,644.0,3097.0,2090.0,1007.0,17.0,12.0,9.0,9.0,,9.0,3.0
28.0,0.372048743,0.656053373,0.9973038,0.45008454,0.0,,,,,,,,,3072.0,8403.0,5.470703125,0.0017814077254965808,0.0017497896499835302,0.9154207137140724,-0.12537507242879387,0.0,3.0,-0.12537507242879387,10.183831237272145,2.7476097531707935,0.0008893542819552951,8403.0,294.0,267.0,1464.0,229.0,38.0,612.0,1758.0,0.9081632653061225,4.979591836734694,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1464.0,655.0,644.0,3126.0,2119.0,1007.0,18.0,13.0,10.0,10.0,0.0,10.0,3.0
29.0,0.434767036,0.580307954,0.9981155,0.3997416,3.0,2.0,5.0,3.0,4.0,3.0,2.0,2.0,1.0,3072.0,8403.0,5.470703125,0.0017814077254965808,0.0017497896499835302,0.9154207137140724,-0.12537507242879387,0.0,3.0,-0.12537507242879387,10.183831237272145,2.7476097531707935,0.0008893542819552951,8403.0,294.0,267.0,1464.0,229.0,38.0,612.0,1758.0,0.9081632653061225,4.979591836734694,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1464.0,655.0,644.0,3126.0,2119.0,1007.0,18.0,13.0,10.0,10.0,,10.0,3.0
30.0,0.32650784,0.674079287,0.9980461,0.45127308,0.0,,,,,,,,,3087.0,8443.0,5.470035633300939,0.0017725326096244133,0.0017570800394104843,0.9193213642945415,-0.12703994939505,0.0,3.0,-0.12703994939505,10.192874080938552,2.748907985453012,0.0008849298431020333,8443.0,294.0,267.0,1474.0,229.0,38.0,612.0,1768.0,0.9081632653061225,5.01360544217687,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1474.0,674.0,644.0,3155.0,2148.0,1007.0,19.0,14.0,11.0,11.0,0.0,11.0,3.0
31.0,0.793252739,0.96879084,0.9981083,0.9964049,3.0,2.0,5.0,3.0,4.0,3.0,2.0,2.0,1.0,3087.0,8443.0,5.470035633300939,0.0017725326096244133,0.0017570800394104843,0.9193213642945415,-0.12703994939505,0.0,3.0,-0.12703994939505,10.192874080938552,2.748907985453012,0.0008849298431020333,8443.0,294.0,267.0,1474.0,229.0,38.0,612.0,1768.0,0.9081632653061225,5.01360544217687,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1474.0,674.0,644.0,3155.0,2148.0,1007.0,19.0,14.0,11.0,11.0,,11.0,3.0
32.0,0.382735908,0.832784668,0.998326,0.99713224,0.0,,,,,,,,,3102.0,8483.0,5.469374597034172,0.00176374543599941,0.0017672261521808515,0.9232295766651659,-0.12879862545358728,0.0,3.0,-0.12879862545358728,10.201658277337646,2.7501759502670153,0.0008805491850061585,8483.0,294.0,267.0,1484.0,229.0,38.0,612.0,1778.0,0.9081632653061225,5.0476190476190474,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1484.0,693.0,644.0,3184.0,2177.0,1007.0,20.0,15.0,12.0,12.0,0.0,12.0,3.0
33.0,0.405036385,0.691771828,0.9954276,0.99713194,3.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,3102.0,8483.0,5.469374597034172,0.00176374543599941,0.0017672261521808515,0.9232295766651659,-0.12879862545358728,0.0,3.0,-0.12879862545358728,10.201658277337646,2.7501759502670153,0.0008805491850061585,8483.0,294.0,267.0,1484.0,229.0,38.0,612.0,1778.0,0.9081632653061225,5.0476190476190474,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1484.0,693.0,644.0,3184.0,2177.0,1007.0,20.0,15.0,12.0,12.0,,12.0,3.0
34.0,0.084853522,0.308182489,0.99588823,0.9969048,0.0,,,,,,,,,3102.0,8483.0,5.469374597034172,0.00176374543599941,0.0017672261521808515,0.9232295766651659,-0.12879862545358728,0.0,3.0,-0.12879862545358728,10.201658277337646,2.7501759502670153,0.0008805491850061585,8483.0,294.0,267.0,1484.0,229.0,38.0,612.0,1778.0,0.9081632653061225,5.0476190476190474,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1484.0,693.0,644.0,3184.0,2177.0,1007.0,20.0,15.0,12.0,12.0,,12.0,3.0
35.0,0.081584394,0.21878925,0.9974526,0.9964376,2.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,3102.0,8483.0,5.469374597034172,0.00176374543599941,0.0017672261521808515,0.9232295766651659,-0.12879862545358728,0.0,3.0,-0.12879862545358728,10.201658277337646,2.7501759502670153,0.0008805491850061585,8483.0,294.0,267.0,1484.0,229.0,38.0,612.0,1778.0,0.9081632653061225,5.0476190476190474,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1484.0,693.0,644.0,3184.0,2177.0,1007.0,20.0,15.0,12.0,12.0,,12.0,3.0
36.0,0.284925569,0.66707062,0.99792284,0.9966866,0.0,,,,,,,,,3116.0,8523.0,5.470474967907574,0.0017561717392961713,0.001781006434304228,0.9276118096650147,-0.1306023349066265,0.0,3.0,-0.1306023349066265,10.209923102906323,2.7512471232672344,0.0008767741467699117,8523.0,294.0,267.0,1495.0,229.0,38.0,612.0,1789.0,0.9081632653061225,5.085034013605442,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1495.0,713.0,644.0,3215.0,2208.0,1007.0,21.0,16.0,13.0,13.0,0.0,13.0,3.0
37.0,0.374528967,0.617429084,0.99788517,0.99682117,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3116.0,8523.0,5.470474967907574,0.0017561717392961713,0.001781006434304228,0.9276118096650147,-0.1306023349066265,0.0,3.0,-0.1306023349066265,10.209923102906323,2.7512471232672344,0.0008767741467699117,8523.0,294.0,267.0,1495.0,229.0,38.0,612.0,1789.0,0.9081632653061225,5.085034013605442,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1495.0,713.0,644.0,3215.0,2208.0,1007.0,21.0,16.0,13.0,13.0,,13.0,3.0
38.0,0.393288344,0.627765603,0.9977037,0.99695677,0.0,,,,,,,,,3130.0,8562.0,5.470926517571885,0.0017484584587957443,0.0017966821114661009,0.932130753331136,-0.13228983226322838,0.0,3.0,-0.13228983226322838,10.217909699993147,2.7523183316784086,0.0008729291918872297,8562.0,294.0,267.0,1505.0,229.0,38.0,612.0,1799.0,0.9081632653061225,5.119047619047619,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1505.0,732.0,644.0,3244.0,2237.0,1007.0,22.0,17.0,14.0,14.0,0.0,14.0,3.0
39.0,0.62042765,0.766519595,0.9977138,0.9970524,3.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,3130.0,8562.0,5.470926517571885,0.0017484584587957443,0.0017966821114661009,0.932130753331136,-0.13228983226322838,0.0,3.0,-0.13228983226322838,10.217909699993147,2.7523183316784086,0.0008729291918872297,8562.0,294.0,267.0,1505.0,229.0,38.0,612.0,1799.0,0.9081632653061225,5.119047619047619,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1505.0,732.0,644.0,3244.0,2237.0,1007.0,22.0,17.0,14.0,14.0,,14.0,3.0
40.0,0.16837525,0.514632188,0.9976888,0.9970703,0.0,,,,,,,,,3130.0,8562.0,5.470926517571885,0.0017484584587957443,0.0017966821114661009,0.932130753331136,-0.13228983226322838,0.0,3.0,-0.13228983226322838,10.217909699993147,2.7523183316784086,0.0008729291918872297,8562.0,294.0,267.0,1505.0,229.0,38.0,612.0,1799.0,0.9081632653061225,5.119047619047619,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1505.0,732.0,644.0,3244.0,2237.0,1007.0,22.0,17.0,14.0,14.0,,14.0,3.0
41.0,0.388281996,0.65224792,0.9604194,0.9971472,2.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,3130.0,8562.0,5.470926517571885,0.0017484584587957443,0.0017966821114661009,0.932130753331136,-0.13228983226322838,0.0,3.0,-0.13228983226322838,10.217909699993147,2.7523183316784086,0.0008729291918872297,8562.0,294.0,267.0,1505.0,229.0,38.0,612.0,1799.0,0.9081632653061225,5.119047619047619,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1505.0,732.0,644.0,3244.0,2237.0,1007.0,22.0,17.0,14.0,14.0,,14.0,3.0
42.0,0.323256643,0.627798264,0.9971485,0.9971503,0.0,,,,,,,,,3130.0,8562.0,5.470926517571885,0.0017484584587957443,0.0017966821114661009,0.932130753331136,-0.13228983226322838,0.0,3.0,-0.13228983226322838,10.217909699993147,2.7523183316784086,0.0008729291918872297,8562.0,294.0,267.0,1505.0,229.0,38.0,612.0,1799.0,0.9081632653061225,5.119047619047619,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,0.8576779026217228,0.14232209737827714,1505.0,732.0,644.0,3244.0,2237.0,1007.0,22.0,17.0,14.0,14.0,,14.0,3.0
